Letter,Thumb,Index,Middle,Ring,Pinky
A,0.583,0.221,0.282,0.313,0.231
A,0.506,0.241,0.309,0.317,0.201
A,0.496,0.229,0.297,0.318,0.185
A,0.522,0.271,0.293,0.318,0.203
A,0.462,0.25,0.301,0.335,0.265
A,0.475,0.241,0.292,0.305,0.166
A,0.489,0.256,0.302,0.324,0.194
A,0.49,0.245,0.267,0.309,0.179
A,0.519,0.271,0.296,0.312,0.214
A,0.517,0.265,0.295,0.317,0.221
A,0.488,0.245,0.26,0.32,0.193
A,0.478,0.247,0.276,0.322,0.201
A,0.49,0.266,0.288,0.338,0.219
A,0.524,0.266,0.399,0.375,0.194
A,0.515,0.247,0.254,0.296,0.185
A,0.51,0.259,0.295,0.322,0.186
A,0.491,0.264,0.338,0.367,0.189
A,0.499,0.245,0.347,0.372,0.195
A,0.529,0.258,0.284,0.331,0.204
A,0.507,0.224,0.304,0.322,0.172
A,0.47,0.218,0.28,0.318,0.186
A,0.439,0.235,0.341,0.362,0.181
A,0.525,0.253,0.298,0.336,0.171
A,0.516,0.259,0.297,0.341,0.192
A,0.503,0.259,0.311,0.354,0.211
B,0.245,0.542,0.658,0.529,0.513
B,0.237,0.518,0.67,0.542,0.517
B,0.273,0.563,0.683,0.554,0.529
B,0.277,0.579,0.691,0.533,0.521
B,0.311,0.597,0.689,0.547,0.542
B,0.283,0.577,0.678,0.541,0.542
B,0.266,0.567,0.685,0.546,0.537
B,0.247,0.56,0.672,0.549,0.524
B,0.273,0.579,0.681,0.554,0.529
B,0.272,0.276,0.688,0.542,0.526
B,0.28,0.58,0.683,0.54,0.521
B,0.278,0.571,0.695,0.546,0.531
B,0.277,0.577,0.682,0.55,0.251
B,0.264,0.554,0.688,0.527,0.525
B,0.245,0.558,0.679,0.539,0.517
B,0.255,0.562,0.669,0.539,0.539
B,0.262,0.576,0.695,0.538,0.537
B,0.26,0.565,0.687,0.54,0.518
B,0.242,0.562,0.674,0.532,0.545
B,0.243,0.557,0.686,0.542,0.528
B,0.247,0.556,0.671,0.549,0.513
B,0.295,0.567,0.675,0.549,0.523
B,0.271,0.558,0.681,0.559,0.526
B,0.245,0.572,0.67,0.554,0.521
B,0.243,0.554,0.671,0.554,0.531
C,0.347,0.388,0.498,0.495,0.412
C,0.334,0.386,0.488,0.46,0.368
C,0.33,0.382,0.477,0.479,0.373
C,0.308,0.362,0.449,0.438,0.302
C,0.297,0.363,0.447,0.437,0.353
C,0.35,0.394,0.505,0.476,0.359
C,0.384,0.412,0.565,0.521,0.412
C,0.341,0.399,0.491,0.449,0.392
C,0.335,0.388,0.478,0.464,0.347
C,0.338,0.391,0.496,0.467,0.372
C,0.33,0.391,0.479,0.451,0.381
C,0.346,0.392,0.514,0.477,0.374
C,0.359,0.399,0.504,0.472,0.383
C,0.337,0.408,0.505,0.477,0.383
C,0.375,0.434,0.529,0.47,0.399
C,0.318,0.372,0.491,0.469,0.372
C,0.326,0.381,0.494,0.451,0.389
C,0.353,0.392,0.529,0.491,0.388
C,0.258,0.363,0.387,0.376,0.307
C,0.323,0.385,0.502,0.468,0.356
C,0.33,0.367,0.479,0.428,0.397
C,0.301,0.349,0.442,0.425,0.271
C,0.308,0.376,0.473,0.424,0.331
C,0.31,0.347,0.47,0.43,0.632
D,0.411,0.606,0.591,0.38,0.218
D,0.374,0.592,0.549,0.441,0.199
D,0.46,0.588,0.529,0.367,0.206
D,0.314,0.591,0.454,0.338,0.218
D,0.322,0.602,0.464,0.351,0.219
D,0.313,0.59,0.446,0.354,0.226
D,0.315,0.583,0.452,0.333,0.214
D,0.318,0.585,0.459,0.361,0.231
D,0.385,0.594,0.538,0.391,0.212
D,0.412,0.611,0.598,0.349,0.193
D,0.366,0.546,0.535,0.462,0.254
D,0.314,0.569,0.464,0.368,0.276
D,0.321,0.586,0.468,0.362,0.205
D,0.348,0.588,0.501,0.45,0.315
D,0.331,0.589,0.475,0.427,0.28
D,0.383,0.61,0.569,0.351,0.168
D,0.363,0.611,0.521,0.426,0.218
D,0.348,0.585,0.494,0.343,0.193
